feature,rf_importance
special_char_count,0.05583633680373089
word_count,0.0466740290211418
body_length,0.044708075250140936
wrote,0.029164872627665244
com,0.023471124808736754
mail,0.01750228401132981
url_count_body,0.016604179519429735
org,0.01616438297198912
max_url_length,0.015097740900569269
http,0.01463521243836829
question_mark_count,0.013836889127068404
list,0.013645283553888226
10,0.011776272068539375
capital_ratio,0.01108864173622465
is_free_email,0.009547969345174307
opensuse,0.00943409754551917
2007,0.009117275790287684
message,0.009026411506037134
listinfo,0.008432090756440856
like,0.008167520238583822
thanks,0.00750269630424651
exclamation_count,0.007201185539461215
mailing,0.007048662476892746
using,0.006791642066901524
mailman,0.006719811974900986
use,0.006686549041548067
2008,0.006172170359176008
_______________________________________________,0.006002201875472908
unsubscribe,0.005783638188885478
mailing list,0.005482057315011273
email,0.005436943056797917
http mail,0.005143970118405291
subject_length,0.004840220959595013
version,0.004413715599451395
python org,0.004280378971128597
problem,0.004234695054759665
code,0.004207179262484978
know,0.004049696285404507
www,0.004045927110126693
regards,0.0040158086627021
account,0.00399155842916026
org http,0.003972774345481485
python,0.003808738281476902
file,0.003736038736998511
cnn com,0.003701012064117703
net,0.0036990215642225474
uai,0.003628116860221857
urgency_word_count,0.0036103580109068194
listinfo python,0.0035778429057412428
options,0.003503403338629772
mail python,0.003485149818890847
address,0.003289064491870516
11,0.003282688857810497
mailman listinfo,0.003204087508680084
click,0.0031546550776654497
perl,0.0031523065287118062
monkey org,0.0031519813338471486
linux,0.0029727420605340517
jose,0.002895022868334933
30303,0.0028935787025145005
http www,0.0028918773490056223
org mailman,0.002859072554851968
monkey,0.002853654265447048
jose monkey,0.0028450340613379466
cnn,0.0026810253729055602
contact,0.00267748040540912
university,0.002576311704969954
aug,0.002566135572529178
aug 2008,0.002561678080275289
sender_domain_length,0.002477779560248138
2008 cable,0.0024055243040283407
time warner,0.0023979937137033245
spamassassin,0.0023806315489060975
georgia 30303,0.0023686288512989053
com preference,0.0023127914917374795
url_count_col,0.0023095728340106216
atlanta,0.0022825105568527464
following,0.002271491518763324
dear,0.0022299733857913343
cable news,0.002161030954403208
way,0.002128583329743779
information,0.0020777073244121662
12,0.0020713289629886384
ve,0.0020666422043570964
hi,0.002062056620002806
million,0.002053591991799902
center atlanta,0.002046352517968876
pm,0.0020346150315005266
ge,0.00200811709104174
mailman options,0.0020062487535269548
spam_word_count,0.0019629892782788987
unsubscribe http,0.0019108856991906032
settings manage,0.0018985000030732832
_______________________________________________ python,0.0018892636984676476
send,0.0018764238991450573
watches,0.001850418802940789
postfix,0.001847677741212666
new,0.0018281513626968108
web,0.0018258180385384059
business,0.0018034224800511818
subject,0.0017959623822995658
georgia,0.001793771352721569
news network,0.0017778395826659485
test,0.0017716052292017545
include,0.0017623050256818373
agreed receive,0.001745404895342568
life,0.0017102542693943341
manage settings,0.0016744699065156165
bug,0.0016611439773688405
preference,0.001658940866094435
data,0.0016578937723680858
cable,0.0016513114860140503
com result,0.0016339861679651772
february,0.0016101590543063846
money,0.0016053848711108955
replica,0.0015992088163148815
bank,0.001591906954086075
men,0.0015798030383210218
server,0.0015759774315036842
systems,0.0015608000820185842
just,0.0015600785394235793
used,0.0015355284662456697
issues,0.0015340827059238012
lar,0.0015109370114892804
dollars,0.0015020733135844516
ren,0.0014994867943833937
feb,0.0014912574228855013
po,0.0014595487347566262
40tangomu,0.0014436209439700433
14,0.001431640463063339
preference settings,0.001413389648082626
warner,0.0013985500055356136
mr,0.001389717166444934
atlanta georgia,0.0013813903544957888
want,0.0013451955078559957
doesn,0.0013133993816084575
dailytop10,0.0013100053572693933
reply,0.0012994822826668112
offer,0.0012891006885070134
dev,0.0012800166008827497
patch,0.0012606255258781846
hour_of_day,0.0012571610964488918
health,0.0012569195304985657
country,0.0012256115720464613
30303 2008,0.0012238234264855068
receive email,0.0011972765568657986
url video,0.0011951584125911507
day_of_week,0.001178948445426525
fund,0.0011762916131850731
user,0.001166479425986797
customer,0.0011651246829743583
apache,0.0011611854074424618
inches,0.0011213869649230861
yahoo,0.0011137131247359795
sent,0.0011135970076651968
sum,0.0010990020453856013
set,0.0010954592102469685
time,0.001094591866023285
need,0.0010823196727850904
cnn dailytop10,0.00106991462769202
issue,0.0010672511334558468
transaction,0.0010609209148167693
phone,0.0010506089151870956
think,0.0010505286691423579
assistance,0.0010294838537218646
en,0.0010262716213013782
trusted news,0.0010202650038442687
run,0.0010197831135048186
problems,0.001017151566915851
apache org,0.0010123930838199329
transfer,0.0010076728458930514
warner company,0.000997834312851967
applications,0.0009822188165812815
id,0.0009787133745231271
ap,0.0009755463033546468
security,0.0009743998290268029
additional,0.0009663521678835873
sender_receiver_domain_match,0.0009598965508319769
visit,0.000958466109727285
company rights,0.00095369242192697
computer,0.0009503678031527115
don,0.0009492688603449488
running,0.000926651979800202
lllp cnn,0.0009259367990176548
service,0.0009258016584223385
interested,0.0009170253543215876
lllp,0.0008922274724286815
cnn center,0.0008919516733447495
attached,0.0008918872093952438
video,0.0008911591708844569
date,0.0008891377967756395
site,0.0008729990049092181
cgi cnn,0.0008717170606863274
send comments,0.0008658827636986977
fax,0.0008621606153204638
update,0.00084881371105293
cheers,0.0008387720902440917
thank,0.0008343963788432677
love,0.0008243396592882092
online,0.0008201787273143369
based,0.0008035651081293486
index,0.0008001501073224054
details,0.0007997757512502763
price,0.0007973678847037988
question,0.0007908634963608414
funds,0.0007866695692611735
papers,0.0007826352046318863
guaranteed,0.0007790640250662309
watch,0.0007702907396923227
daily 10,0.0007620114064712322
rolex,0.0007612185717617213
end,0.0007544119564902223
2008 showbiz,0.0007537935740779849
world,0.0007519440426119874
options python,0.0007492899592144416
make,0.0007415878321710481
group,0.0007414455187961829
prices,0.0007400340080547459
urgent,0.000739434032987998
network lp,0.0007358752652094054
life glad,0.0007356490848641285
does,0.0007317273130892106
private,0.0007246387174166136
company,0.0007223392818435661
link,0.0007214799026588574
bn manage,0.0007212987918264923
challenge cc,0.0007046429627915712
unsubscribe daily,0.0006897319405633367
verify,0.0006878767053831703
number,0.0006818052162799478
error,0.0006700336750833079
family,0.0006699795397990194
banking,0.0006695284325678924
reserved,0.0006670395429257462
help,0.0006637352136598512
free,0.0006615402185723457
email cnn,0.0006551686642538966
cc,0.0006527496717699947
did,0.0006524222639634798
02,0.0006501878012807913
html url,0.0006475072667061157
html,0.0006455344879314107
videos stories,0.0006453489537862596
local,0.000643911849412527
buy,0.0006418776281201248
penis,0.0006339361675163052
payment,0.0006320728272128536
plane,0.0006318594566366382
rights reserved,0.0006317514849619235
view,0.0006310365100001342
40tangomu com,0.000629227998188498
note,0.0006282931306057909
late,0.0006280091695587558
crash,0.0006246721987800682
best,0.0006232108902872595
spam,0.0006216311561219604
soon,0.0006194296563628375
total,0.0006133726348291741
url,0.0006114823069719738
manage,0.000609663934969177
submission,0.0006090942333363726
personal life,0.0006085738982318713
work,0.0006039262442689758
index html,0.0005997879912501246
kindly,0.0005944656792322634
man,0.0005901266197751315
challenge,0.0005876410793583873
cgi,0.0005871542030953099
nz,0.0005869987970113482
increase,0.0005858845720509636
available,0.0005809109437834617
international,0.000579406105784036
10 daily,0.0005772520941737054
00,0.0005733024799835989
replica watches,0.000570485597154328
agreed,0.0005700992132742484
rights,0.0005695057274401487
fast,0.000567877622041293
07,0.0005671656272353237
foreign,0.0005660473526452732
united,0.0005659734404805926
machine,0.0005634707138026178
africa,0.0005631223426085501
direct,0.0005617809415782466
ap index,0.0005604266040671133
com linkto,0.0005601736387521058
partners,0.000558138588271383
python dev,0.0005574327877494674
email index,0.0005534978093581446
guidelines going,0.0005533715043509857
16,0.0005521897410328361
size,0.00055086885490355
www cnn,0.0005489904666669407
files,0.0005488428810365383
follow,0.0005435716851876254
delivery,0.0005421915751870662
usa,0.0005415159609109454
got,0.0005395717404602156
died,0.0005362720570021834
april,0.0005350935496916815
uk,0.0005337642328954026
privacy,0.000525435198785201
receive,0.00052490256274986
notice,0.0005245163017760219
cc cnn,0.0005217106014482447
till,0.0005184581926456834
edt 10,0.000517712540560607
network,0.0005164087479993425
great,0.0005138534079400894
settings,0.0005117760471681247
create,0.0005091297561177939
ceas,0.0005088392263183866
usaa,0.0005036642436101643
order,0.0004995983514102044
conference,0.0004982271990853492
work think,0.000497664541056812
government,0.0004971925063421937
page,0.0004965178647776619
news,0.0004907310633601899
effective,0.0004902522707368591
personal,0.00048612139027021784
gvc,0.0004851642787657594
deceased,0.00048201027796571436
example,0.0004811714389513493
sa,0.00047997995503454814
